Timestamp,What grade are you currently in?,Sex?  (As shown on birth certificate),If the elections for STUCO were today who would you vote for?
4/29/2018 22:25:05,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:25:38,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:25:42,10th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:25:43,10th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:26:05,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:26:33,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:26:40,10th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:27:11,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:28:18,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:29:49,10th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:31:46,10th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:32:30,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:34:09,10th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:36:37,10th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:40:41,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:41:27,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:44:01,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:45:07,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:48:30,10th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:49:13,10th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:50:37,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:00:40,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:03:57,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:07:04,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:26:48,10th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:31:17,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:38:36,10th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:44:41,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:54:21,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 0:09:32,10th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 0:11:01,10th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 6:42:54,10th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 7:11:20,10th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
